Timestamp,Service Units Used
2025-03-29 11:45:10.222,2
2025-03-29 11:45:25.222,2
2025-03-29 11:45:40.222,3
2025-03-29 11:45:55.222,4
2025-03-29 11:46:10.222,4
2025-03-29 11:46:25.222,4
2025-03-29 11:46:40.222,3
2025-03-29 11:46:55.222,4
2025-03-29 11:47:10.222,5
2025-03-29 11:47:25.222,5
2025-03-29 11:47:40.222,3
2025-03-29 11:47:55.222,4
2025-03-29 11:48:10.222,5
2025-03-29 11:48:25.222,6
2025-03-29 11:48:40.222,6
2025-03-29 11:48:55.222,6
2025-03-29 11:49:10.222,5
2025-03-29 11:49:25.222,5
2025-03-29 11:49:40.222,4
2025-03-29 11:49:55.222,4
2025-03-29 11:50:10.222,4
2025-03-29 11:50:25.222,4
2025-03-29 11:50:40.222,4
2025-03-29 11:50:55.222,4
2025-03-29 11:51:10.222,3
2025-03-29 11:51:25.222,3
2025-03-29 11:51:40.222,4
2025-03-29 11:51:55.222,5
2025-03-29 11:52:10.222,5
2025-03-29 11:52:25.222,5
2025-03-29 11:52:40.222,5
2025-03-29 11:52:55.222,4
2025-03-29 11:53:10.222,4
2025-03-29 11:53:25.222,4
2025-03-29 11:53:40.222,5
2025-03-29 11:53:55.222,4
2025-03-29 11:54:10.222,4
2025-03-29 11:54:25.222,4
2025-03-29 11:54:40.222,4
2025-03-29 11:54:55.222,4
2025-03-29 11:55:10.222,4
2025-03-29 11:55:25.222,4
2025-03-29 11:55:40.222,4
2025-03-29 11:55:55.222,4
2025-03-29 11:56:10.222,4
2025-03-29 11:56:25.222,3
2025-03-29 11:56:40.222,3
2025-03-29 11:56:55.222,4
2025-03-29 11:57:10.222,4
2025-03-29 11:57:25.222,4
2025-03-29 11:57:40.222,4
2025-03-29 11:57:55.222,4
2025-03-29 11:58:10.222,3
2025-03-29 11:58:25.222,4
2025-03-29 11:58:40.222,4
2025-03-29 11:58:55.222,4
2025-03-29 11:59:10.222,4
2025-03-29 11:59:25.222,4
2025-03-29 11:59:40.222,4
2025-03-29 11:59:55.222,4
2025-03-29 12:00:10.222,4
2025-03-29 12:00:25.222,3
2025-03-29 12:00:40.222,4
2025-03-29 12:00:55.222,6
2025-03-29 12:01:10.222,6
2025-03-29 12:01:25.222,5
2025-03-29 12:01:40.222,4
2025-03-29 12:01:55.222,5
2025-03-29 12:02:10.222,6
2025-03-29 12:02:25.222,5
2025-03-29 12:02:40.222,5
2025-03-29 12:02:55.222,5
2025-03-29 12:03:10.222,4
2025-03-29 12:03:25.222,4
2025-03-29 12:03:40.222,4
2025-03-29 12:03:55.222,5
2025-03-29 12:04:10.222,5
2025-03-29 12:04:25.222,4
2025-03-29 12:04:40.222,5
2025-03-29 12:04:55.222,5
2025-03-29 12:05:10.222,5
2025-03-29 12:05:25.222,5
2025-03-29 12:05:40.222,5
2025-03-29 12:05:55.222,4
2025-03-29 12:06:10.222,4
2025-03-29 12:06:25.222,4
2025-03-29 12:06:40.222,5
2025-03-29 12:06:55.222,4
2025-03-29 12:07:10.222,3
2025-03-29 12:07:25.222,4
2025-03-29 12:07:40.222,4
2025-03-29 12:07:55.222,4
2025-03-29 12:08:10.222,3
2025-03-29 12:08:25.222,4
2025-03-29 12:08:40.222,4
2025-03-29 12:08:55.222,4
2025-03-29 12:09:10.222,5
2025-03-29 12:09:25.222,5
2025-03-29 12:09:40.222,4
2025-03-29 12:09:55.222,4
2025-03-29 12:10:10.222,4
2025-03-29 12:10:25.222,5
2025-03-29 12:10:40.222,5
2025-03-29 12:10:55.222,5
2025-03-29 12:11:10.222,5
2025-03-29 12:11:25.222,5
2025-03-29 12:11:40.222,5
2025-03-29 12:11:55.222,4
2025-03-29 12:12:10.222,4
2025-03-29 12:12:25.222,4
2025-03-29 12:12:40.222,5
2025-03-29 12:12:55.222,5
2025-03-29 12:13:10.222,4
2025-03-29 12:13:25.222,3
2025-03-29 12:13:40.222,3
2025-03-29 12:13:55.222,4
2025-03-29 12:14:10.222,4
2025-03-29 12:14:25.222,4
2025-03-29 12:14:40.222,4
2025-03-29 12:14:55.222,4
2025-03-29 12:15:10.222,5
2025-03-29 12:15:25.222,5
2025-03-29 12:15:40.222,5
2025-03-29 12:15:55.222,5
2025-03-29 12:16:10.222,4
2025-03-29 12:16:25.222,3
2025-03-29 12:16:40.222,3
2025-03-29 12:16:55.222,3
2025-03-29 12:17:10.222,3
2025-03-29 12:17:25.222,3
2025-03-29 12:17:40.222,3
2025-03-29 12:17:55.222,4
2025-03-29 12:18:10.222,4
2025-03-29 12:18:25.222,4
2025-03-29 12:18:40.222,3
2025-03-29 12:18:55.222,3
