Timestamp,Service Units Used
2025-03-28 03:32:10.075,2
2025-03-28 03:32:25.075,2
2025-03-28 03:32:40.075,2
2025-03-28 03:32:55.075,3
2025-03-28 03:33:10.075,3
2025-03-28 03:33:25.075,3
2025-03-28 03:33:40.075,3
2025-03-28 03:33:55.075,3
2025-03-28 03:34:10.075,3
2025-03-28 03:34:25.075,4
2025-03-28 03:34:40.075,4
2025-03-28 03:34:55.075,4
2025-03-28 03:35:10.075,4
2025-03-28 03:35:25.075,4
2025-03-28 03:35:40.075,4
2025-03-28 03:35:55.075,4
2025-03-28 03:36:10.075,4
2025-03-28 03:36:25.075,4
2025-03-28 03:36:40.075,4
2025-03-28 03:36:55.075,4
2025-03-28 03:37:10.075,4
2025-03-28 03:37:25.075,4
2025-03-28 03:37:40.075,4
2025-03-28 03:37:55.075,4
2025-03-28 03:38:10.075,4
2025-03-28 03:38:25.075,4
2025-03-28 03:38:40.075,4
2025-03-28 03:38:55.075,4
2025-03-28 03:39:10.075,4
2025-03-28 03:39:25.075,4
2025-03-28 03:39:40.075,4
2025-03-28 03:39:55.075,4
2025-03-28 03:40:10.075,4
2025-03-28 03:40:25.075,3
2025-03-28 03:40:40.075,2
2025-03-28 03:40:55.075,2
2025-03-28 03:41:10.075,2
2025-03-28 03:41:25.075,2
2025-03-28 03:41:40.075,2
2025-03-28 03:41:55.075,2
2025-03-28 03:42:10.075,2
2025-03-28 03:42:25.075,2
2025-03-28 03:42:40.075,2
2025-03-28 03:42:55.075,3
2025-03-28 03:43:10.075,3
2025-03-28 03:43:25.075,4
2025-03-28 03:43:40.075,4
2025-03-28 03:43:55.075,3
2025-03-28 03:44:10.075,4
2025-03-28 03:44:25.075,4
2025-03-28 03:44:40.075,4
2025-03-28 03:44:55.075,4
2025-03-28 03:45:10.075,4
2025-03-28 03:45:25.075,4
2025-03-28 03:45:40.075,4
2025-03-28 03:45:55.075,4
2025-03-28 03:46:10.075,4
2025-03-28 03:46:25.075,4
2025-03-28 03:46:40.075,4
2025-03-28 03:46:55.075,4
