Timestamp,Service Units Used
2025-03-24 02:21:46.677,1
2025-03-24 02:22:01.677,1
2025-03-24 02:22:16.677,2
2025-03-24 02:22:31.677,3
2025-03-24 02:22:46.677,4
2025-03-24 02:23:01.677,4
2025-03-24 02:23:16.677,4
2025-03-24 02:23:31.677,5
2025-03-24 02:23:46.677,5
2025-03-24 02:24:01.677,5
2025-03-24 02:24:16.677,4
2025-03-24 02:24:31.677,5
2025-03-24 02:24:46.677,5
2025-03-24 02:25:01.677,4
2025-03-24 02:25:16.677,4
2025-03-24 02:25:31.677,4
2025-03-24 02:25:46.677,4
2025-03-24 02:26:01.677,4
2025-03-24 02:26:16.677,4
2025-03-24 02:26:31.677,5
2025-03-24 02:26:46.677,6
2025-03-24 02:27:01.677,5
2025-03-24 02:27:16.677,4
2025-03-24 02:27:31.677,3
2025-03-24 02:27:46.677,4
2025-03-24 02:28:01.677,3
2025-03-24 02:28:16.677,4
2025-03-24 02:28:31.677,4
2025-03-24 02:28:46.677,5
2025-03-24 02:29:01.677,6
2025-03-24 02:29:16.677,6
2025-03-24 02:29:31.677,6
2025-03-24 02:29:46.677,6
2025-03-24 02:30:01.677,6
2025-03-24 02:30:16.677,6
2025-03-24 02:30:31.677,5
2025-03-24 02:30:46.677,5
2025-03-24 02:31:01.677,5
2025-03-24 02:31:16.677,5
2025-03-24 02:31:31.677,4
2025-03-24 02:31:46.677,4
2025-03-24 02:32:01.677,4
2025-03-24 02:32:16.677,4
2025-03-24 02:32:31.677,4
2025-03-24 02:32:46.677,3
2025-03-24 02:33:01.677,3
2025-03-24 02:33:16.677,4
2025-03-24 02:33:31.677,5
2025-03-24 02:33:46.677,5
2025-03-24 02:34:01.677,5
2025-03-24 02:34:16.677,3
2025-03-24 02:34:31.677,3
2025-03-24 02:34:46.677,3
2025-03-24 02:35:01.677,3
2025-03-24 02:35:16.677,4
2025-03-24 02:35:31.677,5
2025-03-24 02:35:46.677,5
2025-03-24 02:36:01.677,5
2025-03-24 02:36:16.677,5
2025-03-24 02:36:31.677,4
2025-03-24 02:36:46.677,4
2025-03-24 02:37:01.677,3
2025-03-24 02:37:16.677,4
2025-03-24 02:37:31.677,5
2025-03-24 02:37:46.677,7
2025-03-24 02:38:01.677,6
2025-03-24 02:38:16.677,5
2025-03-24 02:38:31.677,5
2025-03-24 02:38:46.677,5
2025-03-24 02:39:01.677,5
2025-03-24 02:39:16.677,4
2025-03-24 02:39:31.677,3
2025-03-24 02:39:46.677,3
2025-03-24 02:40:01.677,3
2025-03-24 02:40:16.677,4
2025-03-24 02:40:31.677,4
2025-03-24 02:40:46.677,4
2025-03-24 02:41:01.677,5
2025-03-24 02:41:16.677,5
2025-03-24 02:41:31.677,6
2025-03-24 02:41:46.677,5
2025-03-24 02:42:01.677,4
2025-03-24 02:42:16.677,4
2025-03-24 02:42:31.677,4
2025-03-24 02:42:46.677,4
2025-03-24 02:43:01.677,5
2025-03-24 02:43:16.677,6
2025-03-24 02:43:31.677,5
2025-03-24 02:43:46.677,4
2025-03-24 02:44:01.677,4
2025-03-24 02:44:16.677,4
2025-03-24 02:44:31.677,4
2025-03-24 02:44:46.677,3
2025-03-24 02:45:01.677,3
2025-03-24 02:45:16.677,3
2025-03-24 02:45:31.677,4
2025-03-24 02:45:46.677,4
2025-03-24 02:46:01.677,5
2025-03-24 02:46:16.677,4
2025-03-24 02:46:31.677,3
2025-03-24 02:46:46.677,4
2025-03-24 02:47:01.677,5
2025-03-24 02:47:16.677,7
2025-03-24 02:47:31.677,6
2025-03-24 02:47:46.677,5
2025-03-24 02:48:01.677,4
2025-03-24 02:48:16.677,4
2025-03-24 02:48:31.677,5
2025-03-24 02:48:46.677,5
2025-03-24 02:49:01.677,5
2025-03-24 02:49:16.677,5
2025-03-24 02:49:31.677,5
2025-03-24 02:49:46.677,4
2025-03-24 02:50:01.677,3
2025-03-24 02:50:16.677,3
2025-03-24 02:50:31.677,5
2025-03-24 02:50:46.677,5
2025-03-24 02:51:01.677,6
2025-03-24 02:51:16.677,4
2025-03-24 02:51:31.677,4
2025-03-24 02:51:46.677,4
2025-03-24 02:52:01.677,5
2025-03-24 02:52:16.677,5
2025-03-24 02:52:31.677,5
2025-03-24 02:52:46.677,4
2025-03-24 02:53:01.677,3
2025-03-24 02:53:16.677,3
2025-03-24 02:53:31.677,4
2025-03-24 02:53:46.677,4
2025-03-24 02:54:01.677,4
2025-03-24 02:54:16.677,4
2025-03-24 02:54:31.677,4
2025-03-24 02:54:46.677,5
2025-03-24 02:55:01.677,4
2025-03-24 02:55:16.677,4
2025-03-24 02:55:31.677,3
2025-03-24 02:55:46.677,4
2025-03-24 02:56:01.677,5
2025-03-24 02:56:16.677,5
2025-03-24 02:56:31.677,4
2025-03-24 02:56:46.677,4
2025-03-24 02:57:01.677,4
2025-03-24 02:57:16.677,4
2025-03-24 02:57:31.677,4
2025-03-24 02:57:46.677,4
2025-03-24 02:58:01.677,3
2025-03-24 02:58:16.677,3
2025-03-24 02:58:31.677,3
2025-03-24 02:58:46.677,4
2025-03-24 02:59:01.677,5
2025-03-24 02:59:16.677,4
2025-03-24 02:59:31.677,4
2025-03-24 02:59:46.677,4
2025-03-24 03:00:01.677,5
2025-03-24 03:00:16.677,5
2025-03-24 03:00:31.677,3
2025-03-24 03:00:46.677,3
2025-03-24 03:01:01.677,4
2025-03-24 03:01:16.677,5
2025-03-24 03:01:31.677,5
2025-03-24 03:01:46.677,4
2025-03-24 03:02:01.677,3
2025-03-24 03:02:16.677,3
2025-03-24 03:02:31.677,4
2025-03-24 03:02:46.677,4
2025-03-24 03:03:01.677,4
2025-03-24 03:03:16.677,4
2025-03-24 03:03:31.677,5
2025-03-24 03:03:46.677,4
2025-03-24 03:04:01.677,6
2025-03-24 03:04:16.677,6
2025-03-24 03:04:31.677,5
2025-03-24 03:04:46.677,4
2025-03-24 03:05:01.677,4
2025-03-24 03:05:16.677,4
2025-03-24 03:05:31.677,5
2025-03-24 03:05:46.677,4
2025-03-24 03:06:01.677,5
2025-03-24 03:06:16.677,5
2025-03-24 03:06:31.677,5
2025-03-24 03:06:46.677,5
2025-03-24 03:07:01.677,4
2025-03-24 03:07:16.677,4
2025-03-24 03:07:31.677,5
2025-03-24 03:07:46.677,5
2025-03-24 03:08:01.677,4
2025-03-24 03:08:16.677,3
2025-03-24 03:08:31.677,4
2025-03-24 03:08:46.677,5
2025-03-24 03:09:01.677,4
2025-03-24 03:09:16.677,4
2025-03-24 03:09:31.677,5
2025-03-24 03:09:46.677,6
2025-03-24 03:10:01.677,5
2025-03-24 03:10:16.677,5
2025-03-24 03:10:31.677,5
2025-03-24 03:10:46.677,4
2025-03-24 03:11:01.677,4
2025-03-24 03:11:16.677,3
2025-03-24 03:11:31.677,3
2025-03-24 03:11:46.677,3
2025-03-24 03:12:01.677,3
2025-03-24 03:12:16.677,4
2025-03-24 03:12:31.677,5
2025-03-24 03:12:46.677,4
2025-03-24 03:13:01.677,4
2025-03-24 03:13:16.677,5
2025-03-24 03:13:31.677,5
2025-03-24 03:13:46.677,4
2025-03-24 03:14:01.677,4
2025-03-24 03:14:16.677,3
2025-03-24 03:14:31.677,3
2025-03-24 03:14:46.677,3
2025-03-24 03:15:01.677,3
2025-03-24 03:15:16.677,4
2025-03-24 03:15:31.677,4
2025-03-24 03:15:46.677,4
2025-03-24 03:16:01.677,5
2025-03-24 03:16:16.677,5
2025-03-24 03:16:31.677,4
2025-03-24 03:16:46.677,3
2025-03-24 03:17:01.677,3
2025-03-24 03:17:16.677,4
2025-03-24 03:17:31.677,4
2025-03-24 03:17:46.677,5
2025-03-24 03:18:01.677,5
2025-03-24 03:18:16.677,5
2025-03-24 03:18:31.677,5
2025-03-24 03:18:46.677,5
2025-03-24 03:19:01.677,5
2025-03-24 03:19:16.677,4
2025-03-24 03:19:31.677,4
2025-03-24 03:19:46.677,5
2025-03-24 03:20:01.677,6
2025-03-24 03:20:16.677,5
2025-03-24 03:20:31.677,3
2025-03-24 03:20:46.677,3
2025-03-24 03:21:01.677,4
2025-03-24 03:21:16.677,5
2025-03-24 03:21:31.677,5
2025-03-24 03:21:46.677,4
2025-03-24 03:22:01.677,4
2025-03-24 03:22:16.677,4
2025-03-24 03:22:31.677,4
2025-03-24 03:22:46.677,4
2025-03-24 03:23:01.677,3
2025-03-24 03:23:16.677,3
2025-03-24 03:23:31.677,4
2025-03-24 03:23:46.677,5
2025-03-24 03:24:01.677,6
2025-03-24 03:24:16.677,5
2025-03-24 03:24:31.677,4
2025-03-24 03:24:46.677,4
2025-03-24 03:25:01.677,5
2025-03-24 03:25:16.677,5
2025-03-24 03:25:31.677,5
2025-03-24 03:25:46.677,7
2025-03-24 03:26:01.677,7
2025-03-24 03:26:16.677,6
2025-03-24 03:26:31.677,6
2025-03-24 03:26:46.677,6
2025-03-24 03:27:01.677,4
2025-03-24 03:27:16.677,4
2025-03-24 03:27:31.677,4
2025-03-24 03:27:46.677,4
2025-03-24 03:28:01.677,5
2025-03-24 03:28:16.677,6
2025-03-24 03:28:31.677,6
2025-03-24 03:28:46.677,7
2025-03-24 03:29:01.677,5
2025-03-24 03:29:16.677,5
2025-03-24 03:29:31.677,4
2025-03-24 03:29:46.677,4
2025-03-24 03:30:01.677,4
2025-03-24 03:30:16.677,4
2025-03-24 03:30:31.677,4
2025-03-24 03:30:46.677,5
2025-03-24 03:31:01.677,6
2025-03-24 03:31:16.677,5
2025-03-24 03:31:31.677,5
2025-03-24 03:31:46.677,5
2025-03-24 03:32:01.677,5
2025-03-24 03:32:16.677,5
2025-03-24 03:32:31.677,4
2025-03-24 03:32:46.677,4
2025-03-24 03:33:01.677,4
2025-03-24 03:33:16.677,5
2025-03-24 03:33:31.677,5
2025-03-24 03:33:46.677,4
2025-03-24 03:34:01.677,3
2025-03-24 03:34:16.677,3
2025-03-24 03:34:31.677,4
2025-03-24 03:34:46.677,4
2025-03-24 03:35:01.677,5
2025-03-24 03:35:16.677,5
2025-03-24 03:35:31.677,4
2025-03-24 03:35:46.677,4
2025-03-24 03:36:01.677,5
2025-03-24 03:36:16.677,8
2025-03-24 03:36:31.677,7
2025-03-24 03:36:46.677,6
2025-03-24 03:37:01.677,6
2025-03-24 03:37:16.677,5
2025-03-24 03:37:31.677,4
2025-03-24 03:37:46.677,5
2025-03-24 03:38:01.677,5
2025-03-24 03:38:16.677,5
2025-03-24 03:38:31.677,5
2025-03-24 03:38:46.677,5
2025-03-24 03:39:01.677,5
2025-03-24 03:39:16.677,4
2025-03-24 03:39:31.677,5
2025-03-24 03:39:46.677,5
2025-03-24 03:40:01.677,4
2025-03-24 03:40:16.677,5
2025-03-24 03:40:31.677,4
2025-03-24 03:40:46.677,5
2025-03-24 03:41:01.677,6
2025-03-24 03:41:16.677,7
2025-03-24 03:41:31.677,7
2025-03-24 03:41:46.677,7
2025-03-24 03:42:01.677,6
2025-03-24 03:42:16.677,5
2025-03-24 03:42:31.677,5
2025-03-24 03:42:46.677,5
2025-03-24 03:43:01.677,5
2025-03-24 03:43:16.677,5
2025-03-24 03:43:31.677,5
2025-03-24 03:43:46.677,6
2025-03-24 03:44:01.677,7
2025-03-24 03:44:16.677,7
2025-03-24 03:44:31.677,7
2025-03-24 03:44:46.677,5
2025-03-24 03:45:01.677,4
2025-03-24 03:45:16.677,4
2025-03-24 03:45:31.677,5
2025-03-24 03:45:46.677,5
2025-03-24 03:46:01.677,5
2025-03-24 03:46:16.677,6
2025-03-24 03:46:31.677,7
2025-03-24 03:46:46.677,7
2025-03-24 03:47:01.677,7
2025-03-24 03:47:16.677,7
2025-03-24 03:47:31.677,6
2025-03-24 03:47:46.677,4
2025-03-24 03:48:01.677,5
2025-03-24 03:48:16.677,5
2025-03-24 03:48:31.677,7
2025-03-24 03:48:46.677,6
2025-03-24 03:49:01.677,5
2025-03-24 03:49:16.677,4
2025-03-24 03:49:31.677,4
2025-03-24 03:49:46.677,3
2025-03-24 03:50:01.677,4
2025-03-24 03:50:16.677,4
