Timestamp,Service Units Used
2025-03-31 15:53:45.328,10
2025-03-31 15:54:00.328,10
2025-03-31 15:54:15.328,10
2025-03-31 15:54:30.328,10
2025-03-31 15:54:45.328,10
2025-03-31 15:55:00.328,10
2025-03-31 15:55:15.328,10
2025-03-31 15:55:30.328,10
2025-03-31 15:55:45.328,10
2025-03-31 15:56:00.328,10
2025-03-31 15:56:15.328,9
2025-03-31 15:56:30.328,9
2025-03-31 15:56:45.328,9
2025-03-31 15:57:00.328,9
2025-03-31 15:57:15.328,9
2025-03-31 15:57:30.328,9
2025-03-31 15:57:45.328,9
2025-03-31 15:58:00.328,9
2025-03-31 15:58:15.328,9
2025-03-31 15:58:30.328,9
2025-03-31 15:58:45.328,9
2025-03-31 15:59:00.328,9
2025-03-31 15:59:15.328,9
2025-03-31 15:59:30.328,9
2025-03-31 15:59:45.328,9
2025-03-31 16:00:00.328,9
2025-03-31 16:00:15.328,9
2025-03-31 16:00:30.328,9
2025-03-31 16:00:45.328,9
2025-03-31 16:01:00.328,9
2025-03-31 16:01:15.328,9
2025-03-31 16:01:30.328,9
2025-03-31 16:01:45.328,8
2025-03-31 16:02:00.328,8
2025-03-31 16:02:15.328,8
2025-03-31 16:02:30.328,8
2025-03-31 16:02:45.328,8
2025-03-31 16:03:00.328,8
2025-03-31 16:03:15.328,8
2025-03-31 16:03:30.328,8
2025-03-31 16:03:45.328,8
2025-03-31 16:04:00.328,8
2025-03-31 16:04:15.328,8
2025-03-31 16:04:30.328,8
2025-03-31 16:04:45.328,8
2025-03-31 16:05:00.328,8
2025-03-31 16:05:15.328,8
2025-03-31 16:05:30.328,8
2025-03-31 16:05:45.328,8
2025-03-31 16:06:00.328,8
2025-03-31 16:06:15.328,8
2025-03-31 16:06:30.328,8
2025-03-31 16:06:45.328,8
2025-03-31 16:07:00.328,8
2025-03-31 16:07:15.328,8
2025-03-31 16:07:30.328,8
2025-03-31 16:07:45.328,8
2025-03-31 16:08:00.328,8
2025-03-31 16:08:15.328,8
2025-03-31 16:08:30.328,8
2025-03-31 16:08:45.328,8
