Timestamp,Median Service Units Used
2025-04-01 18:14:10.903,3
2025-04-01 18:14:25.903,3
2025-04-01 18:14:40.903,3
2025-04-01 18:14:55.903,3
2025-04-01 18:15:10.903,3
2025-04-01 18:15:25.903,3
2025-04-01 18:15:40.903,3
2025-04-01 18:15:55.903,3
2025-04-01 18:16:10.903,3
2025-04-01 18:16:25.903,3
2025-04-01 18:16:40.903,3
2025-04-01 18:16:55.903,3
2025-04-01 18:17:10.903,3
2025-04-01 18:17:25.903,3
2025-04-01 18:17:40.903,3
2025-04-01 18:17:55.903,3
2025-04-01 18:18:10.903,3
2025-04-01 18:18:25.903,3
2025-04-01 18:18:40.903,3
2025-04-01 18:18:55.903,3
2025-04-01 18:19:10.903,3
2025-04-01 18:19:25.903,3
2025-04-01 18:19:40.903,3
2025-04-01 18:19:55.903,3
2025-04-01 18:20:10.903,3
2025-04-01 18:20:25.903,3
2025-04-01 18:20:40.903,3
2025-04-01 18:20:55.903,3
2025-04-01 18:21:10.903,3
2025-04-01 18:21:25.903,3
2025-04-01 18:21:40.903,3
2025-04-01 18:21:55.903,3
2025-04-01 18:22:10.903,3
2025-04-01 18:22:25.903,3
2025-04-01 18:22:40.903,3
2025-04-01 18:22:55.903,3
2025-04-01 18:23:10.903,3
2025-04-01 18:23:25.903,3
2025-04-01 18:23:40.903,3
2025-04-01 18:23:55.903,3
2025-04-01 18:24:10.903,3
2025-04-01 18:24:25.903,3
2025-04-01 18:24:40.903,3
2025-04-01 18:24:55.903,3
2025-04-01 18:25:10.903,3
2025-04-01 18:25:25.903,3
2025-04-01 18:25:40.903,3
2025-04-01 18:25:55.903,3
2025-04-01 18:26:10.903,3
2025-04-01 18:26:25.903,3
2025-04-01 18:26:40.903,3
2025-04-01 18:26:55.903,3
2025-04-01 18:27:10.903,3
2025-04-01 18:27:25.903,3
2025-04-01 18:27:40.903,3
2025-04-01 18:27:55.903,3
2025-04-01 18:28:10.903,3
2025-04-01 18:28:25.903,3
2025-04-01 18:28:40.903,3
2025-04-01 18:28:55.903,3
2025-04-01 18:29:10.903,3
2025-04-01 18:29:25.903,3
2025-04-01 18:29:40.903,3
2025-04-01 18:29:55.903,3
2025-04-01 18:30:10.903,3
2025-04-01 18:30:25.903,3
2025-04-01 18:30:40.903,3
2025-04-01 18:30:55.903,3
2025-04-01 18:31:10.903,3
2025-04-01 18:31:25.903,3
2025-04-01 18:31:40.903,3
2025-04-01 18:31:55.903,3
2025-04-01 18:32:10.903,3
2025-04-01 18:32:25.903,3
2025-04-01 18:32:40.903,2
2025-04-01 18:32:55.903,2
2025-04-01 18:33:10.903,2
2025-04-01 18:33:25.903,2
2025-04-01 18:33:40.903,2
2025-04-01 18:33:55.903,3
2025-04-01 18:34:10.903,3
2025-04-01 18:34:25.903,3
2025-04-01 18:34:40.903,3
2025-04-01 18:34:55.903,3
2025-04-01 18:35:10.903,3
2025-04-01 18:35:25.903,3
2025-04-01 18:35:40.903,3
2025-04-01 18:35:55.903,3
2025-04-01 18:36:10.903,3
2025-04-01 18:36:25.903,3
2025-04-01 18:36:40.903,3
2025-04-01 18:36:55.903,3
2025-04-01 18:37:10.903,3
2025-04-01 18:37:25.903,3
2025-04-01 18:37:40.903,3
2025-04-01 18:37:55.903,3
2025-04-01 18:38:10.903,3
2025-04-01 18:38:25.903,3
2025-04-01 18:38:40.903,3
2025-04-01 18:38:55.903,3
2025-04-01 18:39:10.903,2
2025-04-01 18:39:25.903,2
2025-04-01 18:39:40.903,2
2025-04-01 18:39:55.903,2
2025-04-01 18:40:10.903,2
2025-04-01 18:40:25.903,2
2025-04-01 18:40:40.903,2
2025-04-01 18:40:55.903,2
2025-04-01 18:41:10.903,2
2025-04-01 18:41:25.903,2
2025-04-01 18:41:40.903,2
2025-04-01 18:41:55.903,2
2025-04-01 18:42:10.903,2
2025-04-01 18:42:25.903,2
2025-04-01 18:42:40.903,2
2025-04-01 18:42:55.903,2
2025-04-01 18:43:10.903,2
2025-04-01 18:43:25.903,2
2025-04-01 18:43:40.903,2
2025-04-01 18:43:55.903,2
2025-04-01 18:44:10.903,2
2025-04-01 18:44:25.903,2
2025-04-01 18:44:40.903,2
2025-04-01 18:44:55.903,2
2025-04-01 18:45:10.903,2
2025-04-01 18:45:25.903,2
2025-04-01 18:45:40.903,2
2025-04-01 18:45:55.903,2
2025-04-01 18:46:10.903,2
2025-04-01 18:46:25.903,2
2025-04-01 18:46:40.903,2
2025-04-01 18:46:55.903,2
2025-04-01 18:47:10.903,2
2025-04-01 18:47:25.903,2
2025-04-01 18:47:40.903,2
2025-04-01 18:47:55.903,2
2025-04-01 18:48:10.903,2
2025-04-01 18:48:25.903,2
2025-04-01 18:48:40.903,2
2025-04-01 18:48:55.903,2
2025-04-01 18:49:10.903,2
2025-04-01 18:49:25.903,2
2025-04-01 18:49:40.903,2
2025-04-01 18:49:55.903,2
2025-04-01 18:50:10.903,2
2025-04-01 18:50:25.903,2
2025-04-01 18:50:40.903,2
2025-04-01 18:50:55.903,2
2025-04-01 18:51:10.903,2
2025-04-01 18:51:25.903,2
2025-04-01 18:51:40.903,2
2025-04-01 18:51:55.903,2
2025-04-01 18:52:10.903,2
2025-04-01 18:52:25.903,2
2025-04-01 18:52:40.903,2
2025-04-01 18:52:55.903,2
2025-04-01 18:53:10.903,2
2025-04-01 18:53:25.903,2
2025-04-01 18:53:40.903,2
2025-04-01 18:53:55.903,2
2025-04-01 18:54:10.903,2
2025-04-01 18:54:25.903,2
2025-04-01 18:54:40.903,2
2025-04-01 18:54:55.903,2
2025-04-01 18:55:10.903,2
2025-04-01 18:55:25.903,2
2025-04-01 18:55:40.903,2
2025-04-01 18:55:55.903,2
2025-04-01 18:56:10.903,2
2025-04-01 18:56:25.903,2
2025-04-01 18:56:40.903,2
2025-04-01 18:56:55.903,2
2025-04-01 18:57:10.903,2
2025-04-01 18:57:25.903,2
2025-04-01 18:57:40.903,2
2025-04-01 18:57:55.903,2
2025-04-01 18:58:10.903,2
2025-04-01 18:58:25.903,2
2025-04-01 18:58:40.903,2
2025-04-01 18:58:55.903,2
2025-04-01 18:59:10.903,2
2025-04-01 18:59:25.903,2
2025-04-01 18:59:40.903,2
2025-04-01 18:59:55.903,2
2025-04-01 19:00:10.903,2
2025-04-01 19:00:25.903,2
2025-04-01 19:00:40.903,2
2025-04-01 19:00:55.903,2
2025-04-01 19:01:10.903,2
2025-04-01 19:01:25.903,2
2025-04-01 19:01:40.903,2
2025-04-01 19:01:55.903,2
2025-04-01 19:02:10.903,2
2025-04-01 19:02:25.903,2
2025-04-01 19:02:40.903,2
2025-04-01 19:02:55.903,2
2025-04-01 19:03:10.903,2
2025-04-01 19:03:25.903,2
2025-04-01 19:03:40.903,2
2025-04-01 19:03:55.903,2
2025-04-01 19:04:10.903,2
2025-04-01 19:04:25.903,2
2025-04-01 19:04:40.903,2
2025-04-01 19:04:55.903,2
2025-04-01 19:05:10.903,2
2025-04-01 19:05:25.903,2
2025-04-01 19:05:40.903,2
2025-04-01 19:05:55.903,2
2025-04-01 19:06:10.903,2
2025-04-01 19:06:25.903,2
2025-04-01 19:06:40.903,2
2025-04-01 19:06:55.903,2
2025-04-01 19:07:10.903,2
2025-04-01 19:07:25.903,2
2025-04-01 19:07:40.903,2
2025-04-01 19:07:55.903,2
2025-04-01 19:08:10.903,2
2025-04-01 19:08:25.903,2
2025-04-01 19:08:40.903,2
2025-04-01 19:08:55.903,2
2025-04-01 19:09:10.903,2
2025-04-01 19:09:25.903,2
2025-04-01 19:09:40.903,2
2025-04-01 19:09:55.903,2
2025-04-01 19:10:10.903,2
2025-04-01 19:10:25.903,2
2025-04-01 19:10:40.903,2
2025-04-01 19:10:55.903,2
2025-04-01 19:11:10.903,2
2025-04-01 19:11:25.903,2
2025-04-01 19:11:40.903,2
2025-04-01 19:11:55.903,2
2025-04-01 19:12:10.903,2
2025-04-01 19:12:25.903,2
2025-04-01 19:12:40.903,2
2025-04-01 19:12:55.903,2
2025-04-01 19:13:10.903,2
2025-04-01 19:13:25.903,2
2025-04-01 19:13:40.903,2
2025-04-01 19:13:55.903,2
2025-04-01 19:14:10.903,2
2025-04-01 19:14:25.903,2
2025-04-01 19:14:40.903,2
2025-04-01 19:14:55.903,2
2025-04-01 19:15:10.903,2
2025-04-01 19:15:25.903,2
2025-04-01 19:15:40.903,2
2025-04-01 19:15:55.903,2
