Timestamp,Median Service Units Used
2025-03-30 22:33:54.177,3
2025-03-30 22:34:09.177,3
2025-03-30 22:34:24.177,3
2025-03-30 22:34:39.177,3
2025-03-30 22:34:54.177,3
2025-03-30 22:35:09.177,3
2025-03-30 22:35:24.177,3
2025-03-30 22:35:39.177,3
2025-03-30 22:35:54.177,3
2025-03-30 22:36:09.177,3
2025-03-30 22:36:24.177,3
2025-03-30 22:36:39.177,3
2025-03-30 22:36:54.177,3
2025-03-30 22:37:09.177,3
2025-03-30 22:37:24.177,3
2025-03-30 22:37:39.177,3
2025-03-30 22:37:54.177,3
2025-03-30 22:38:09.177,3
2025-03-30 22:38:24.177,3
2025-03-30 22:38:39.177,3
2025-03-30 22:38:54.177,3
2025-03-30 22:39:09.177,3
2025-03-30 22:39:24.177,3
2025-03-30 22:39:39.177,3
2025-03-30 22:39:54.177,3
2025-03-30 22:40:09.177,3
2025-03-30 22:40:24.177,3
2025-03-30 22:40:39.177,3
2025-03-30 22:40:54.177,3
2025-03-30 22:41:09.177,3
2025-03-30 22:41:24.177,3
2025-03-30 22:41:39.177,3
2025-03-30 22:41:54.177,3
2025-03-30 22:42:09.177,3
2025-03-30 22:42:24.177,3
2025-03-30 22:42:39.177,3
2025-03-30 22:42:54.177,3
2025-03-30 22:43:09.177,3
2025-03-30 22:43:24.177,3
2025-03-30 22:43:39.177,3
2025-03-30 22:43:54.177,3
2025-03-30 22:44:09.177,3
2025-03-30 22:44:24.177,3
2025-03-30 22:44:39.177,3
2025-03-30 22:44:54.177,3
2025-03-30 22:45:09.177,2
2025-03-30 22:45:24.177,2
2025-03-30 22:45:39.177,2
2025-03-30 22:45:54.177,2
2025-03-30 22:46:09.177,2
2025-03-30 22:46:24.177,2
2025-03-30 22:46:39.177,2
2025-03-30 22:46:54.177,2
2025-03-30 22:47:09.177,2
2025-03-30 22:47:24.177,2
2025-03-30 22:47:39.177,2
2025-03-30 22:47:54.177,2
2025-03-30 22:48:09.177,2
2025-03-30 22:48:24.177,2
2025-03-30 22:48:39.177,2
2025-03-30 22:48:54.177,2
2025-03-30 22:49:09.177,2
2025-03-30 22:49:24.177,2
2025-03-30 22:49:39.177,2
2025-03-30 22:49:54.177,2
2025-03-30 22:50:09.177,2
2025-03-30 22:50:24.177,2
2025-03-30 22:50:39.177,2
2025-03-30 22:50:54.177,2
2025-03-30 22:51:09.177,2
2025-03-30 22:51:24.177,2
2025-03-30 22:51:39.177,2
2025-03-30 22:51:54.177,2
2025-03-30 22:52:09.177,2
2025-03-30 22:52:24.177,2
2025-03-30 22:52:39.177,2
2025-03-30 22:52:54.177,2
2025-03-30 22:53:09.177,2
2025-03-30 22:53:24.177,2
2025-03-30 22:53:39.177,2
2025-03-30 22:53:54.177,2
2025-03-30 22:54:09.177,2
2025-03-30 22:54:24.177,2
2025-03-30 22:54:39.177,2
2025-03-30 22:54:54.177,2
2025-03-30 22:55:09.177,2
2025-03-30 22:55:24.177,2
2025-03-30 22:55:39.177,2
2025-03-30 22:55:54.177,2
2025-03-30 22:56:09.177,2
2025-03-30 22:56:24.177,2
2025-03-30 22:56:39.177,2
2025-03-30 22:56:54.177,2
2025-03-30 22:57:09.177,2
2025-03-30 22:57:24.177,2
