Timestamp,Max Service Units
2024-10-09 22:45:40,1
2024-10-09 22:46:40,5
2024-10-09 22:47:40,7
2024-10-09 22:48:40,6
2024-10-09 22:49:40,6
2024-10-09 22:50:40,6
2024-10-09 22:51:40,6
2024-10-09 22:52:40,5
2024-10-09 22:53:40,6
2024-10-09 22:54:40,6
2024-10-09 22:55:40,5
2024-10-09 22:56:40,5
2024-10-09 22:57:40,6
2024-10-09 22:58:40,5
2024-10-09 22:59:40,5
2024-10-09 23:00:40,6
2024-10-09 23:01:40,5
2024-10-09 23:02:40,5
2024-10-09 23:03:40,6
2024-10-09 23:04:40,5
2024-10-09 23:05:40,6
2024-10-09 23:06:40,5
2024-10-09 23:07:40,5
2024-10-09 23:08:40,5
2024-10-09 23:09:40,5
2024-10-09 23:10:40,6
2024-10-09 23:11:40,6
2024-10-09 23:12:40,5
2024-10-09 23:13:40,5
2024-10-09 23:14:40,6
2024-10-09 23:15:40,5
2024-10-09 23:16:40,5
2024-10-09 23:17:40,5
2024-10-09 23:18:40,5
2024-10-09 23:19:40,5
2024-10-09 23:20:40,5
2024-10-09 23:21:40,5
2024-10-09 23:22:40,5
2024-10-09 23:23:40,5
2024-10-09 23:24:40,5
2024-10-09 23:25:40,5
2024-10-09 23:26:40,5
2024-10-09 23:27:40,5
2024-10-09 23:28:40,6
2024-10-09 23:29:40,5
2024-10-09 23:30:40,5
2024-10-09 23:31:40,5
2024-10-09 23:32:40,5
2024-10-09 23:33:40,6
2024-10-09 23:34:40,5
2024-10-09 23:35:40,5
2024-10-09 23:36:40,5
2024-10-09 23:37:40,6
2024-10-09 23:38:40,5
2024-10-09 23:39:40,5
2024-10-09 23:40:40,5
2024-10-09 23:41:40,5
2024-10-09 23:42:40,5
2024-10-09 23:43:40,5
2024-10-09 23:44:40,5
2024-10-09 23:45:40,5
2024-10-09 23:46:40,5
2024-10-09 23:47:40,6
2024-10-09 23:48:40,6
2024-10-09 23:49:40,5
2024-10-09 23:50:40,6
2024-10-09 23:51:40,5
2024-10-09 23:52:40,5
2024-10-09 23:53:40,5
2024-10-09 23:54:40,6
2024-10-09 23:55:40,5
2024-10-09 23:56:40,5
2024-10-09 23:57:40,5
2024-10-09 23:58:40,5
2024-10-09 23:59:40,5
2024-10-10 00:00:40,5
2024-10-10 00:01:40,5
2024-10-10 00:02:40,6
2024-10-10 00:03:40,5
2024-10-10 00:04:40,5
2024-10-10 00:05:40,5
2024-10-10 00:06:40,5
2024-10-10 00:07:40,5
2024-10-10 00:08:40,6
2024-10-10 00:09:40,5
2024-10-10 00:10:40,5
2024-10-10 00:11:40,6
2024-10-10 00:12:40,5
2024-10-10 00:13:40,5
2024-10-10 00:14:40,5
2024-10-10 00:15:40,5
2024-10-10 00:16:40,5
2024-10-10 00:17:40,6
2024-10-10 00:18:40,6
2024-10-10 00:19:40,6
2024-10-10 00:20:40,5
2024-10-10 00:21:40,6
2024-10-10 00:22:40,5
2024-10-10 00:23:40,5
2024-10-10 00:24:40,5
2024-10-10 00:25:40,12
2024-10-10 00:26:40,22
2024-10-10 00:27:40,21
2024-10-10 00:28:40,9
2024-10-10 00:29:40,8
2024-10-10 00:30:40,8
2024-10-10 00:31:40,8
2024-10-10 00:32:40,7
2024-10-10 00:33:40,7
2024-10-10 00:34:40,6
2024-10-10 00:35:40,12
2024-10-10 00:36:40,21
2024-10-10 00:37:40,16
2024-10-10 00:38:40,8
2024-10-10 00:39:40,8
2024-10-10 00:40:40,8
2024-10-10 00:41:40,8
2024-10-10 00:42:40,6
2024-10-10 00:43:40,6
2024-10-10 00:44:40,6
2024-10-10 00:45:40,17
2024-10-10 00:46:40,19
2024-10-10 00:47:40,7
2024-10-10 00:48:40,7
2024-10-10 00:49:40,8
2024-10-10 00:50:40,7
2024-10-10 00:51:40,6
2024-10-10 00:52:40,6
2024-10-10 00:53:40,6
2024-10-10 00:54:40,5
2024-10-10 00:55:40,11
2024-10-10 00:56:40,22
2024-10-10 00:57:40,23
2024-10-10 00:58:40,9
2024-10-10 00:59:40,8
2024-10-10 01:00:40,8
2024-10-10 01:01:40,8
2024-10-10 01:02:40,9
2024-10-10 01:03:40,7
2024-10-10 01:04:40,7
2024-10-10 01:05:40,17
2024-10-10 01:06:40,24
2024-10-10 01:07:40,11
2024-10-10 01:08:40,9
2024-10-10 01:09:40,8
2024-10-10 01:10:40,8
2024-10-10 01:11:40,8
2024-10-10 01:12:40,6
2024-10-10 01:13:40,6
2024-10-10 01:14:40,6
2024-10-10 01:15:40,14
2024-10-10 01:16:40,25
2024-10-10 01:17:40,20
2024-10-10 01:18:40,9
2024-10-10 01:19:40,8
2024-10-10 01:20:40,8
2024-10-10 01:21:40,8
2024-10-10 01:22:40,7
2024-10-10 01:23:40,7
2024-10-10 01:24:40,6
2024-10-10 01:25:40,12
2024-10-10 01:26:40,23
2024-10-10 01:27:40,21
2024-10-10 01:28:40,9
2024-10-10 01:29:40,8
2024-10-10 01:30:40,9
2024-10-10 01:31:40,8
2024-10-10 01:32:40,7
2024-10-10 01:33:40,7
2024-10-10 01:34:40,7
2024-10-10 01:35:40,12
2024-10-10 01:36:40,25
2024-10-10 01:37:40,15
2024-10-10 01:38:40,8
2024-10-10 01:39:40,8
2024-10-10 01:40:40,8
2024-10-10 01:41:40,9
2024-10-10 01:42:40,7
2024-10-10 01:43:40,6
2024-10-10 01:44:40,7
2024-10-10 01:45:40,10
