Timestamp,Service Units Used
2025-03-27 00:48:16.694,2
2025-03-27 00:48:31.694,2
2025-03-27 00:48:46.694,2
2025-03-27 00:49:01.694,3
2025-03-27 00:49:16.694,3
2025-03-27 00:49:31.694,3
2025-03-27 00:49:46.694,3
2025-03-27 00:50:01.694,3
2025-03-27 00:50:16.694,3
2025-03-27 00:50:31.694,4
2025-03-27 00:50:46.694,4
2025-03-27 00:51:01.694,4
2025-03-27 00:51:16.694,4
2025-03-27 00:51:31.694,4
2025-03-27 00:51:46.694,4
2025-03-27 00:52:01.694,4
2025-03-27 00:52:16.694,4
2025-03-27 00:52:31.694,4
2025-03-27 00:52:46.694,4
2025-03-27 00:53:01.694,3
2025-03-27 00:53:16.694,4
2025-03-27 00:53:31.694,4
2025-03-27 00:53:46.694,3
2025-03-27 00:54:01.694,4
2025-03-27 00:54:16.694,4
2025-03-27 00:54:31.694,4
2025-03-27 00:54:46.694,4
2025-03-27 00:55:01.694,4
2025-03-27 00:55:16.694,3
2025-03-27 00:55:31.694,4
2025-03-27 00:55:46.694,3
2025-03-27 00:56:01.694,4
2025-03-27 00:56:16.694,4
2025-03-27 00:56:31.694,3
2025-03-27 00:56:46.694,2
2025-03-27 00:57:01.694,2
2025-03-27 00:57:16.694,2
2025-03-27 00:57:31.694,2
2025-03-27 00:57:46.694,2
2025-03-27 00:58:01.694,2
2025-03-27 00:58:16.694,2
2025-03-27 00:58:31.694,2
2025-03-27 00:58:46.694,2
2025-03-27 00:59:01.694,3
2025-03-27 00:59:16.694,4
2025-03-27 00:59:31.694,4
2025-03-27 00:59:46.694,4
2025-03-27 01:00:01.694,4
2025-03-27 01:00:16.694,4
2025-03-27 01:00:31.694,4
2025-03-27 01:00:46.694,4
2025-03-27 01:01:01.694,4
2025-03-27 01:01:16.694,3
2025-03-27 01:01:31.694,4
2025-03-27 01:01:46.694,4
2025-03-27 01:02:01.694,3
2025-03-27 01:02:16.694,4
2025-03-27 01:02:31.694,4
2025-03-27 01:02:46.694,4
2025-03-27 01:03:01.694,3
2025-03-27 01:03:16.694,4
2025-03-27 01:03:31.694,4
2025-03-27 01:03:46.694,4
2025-03-27 01:04:01.694,4
2025-03-27 01:04:16.694,4
2025-03-27 01:04:31.694,4
2025-03-27 01:04:46.694,4
2025-03-27 01:05:01.694,3
2025-03-27 01:05:16.694,4
2025-03-27 01:05:31.694,4
2025-03-27 01:05:46.694,4
2025-03-27 01:06:01.694,4
2025-03-27 01:06:16.694,4
2025-03-27 01:06:31.694,3
2025-03-27 01:06:46.694,2
2025-03-27 01:07:01.694,2
2025-03-27 01:07:16.694,2
2025-03-27 01:07:31.694,2
2025-03-27 01:07:46.694,2
2025-03-27 01:08:01.694,2
2025-03-27 01:08:16.694,2
2025-03-27 01:08:31.694,2
2025-03-27 01:08:46.694,2
2025-03-27 01:09:01.694,3
2025-03-27 01:09:16.694,4
2025-03-27 01:09:31.694,4
2025-03-27 01:09:46.694,4
2025-03-27 01:10:01.694,3
2025-03-27 01:10:16.694,4
2025-03-27 01:10:31.694,4
2025-03-27 01:10:46.694,4
2025-03-27 01:11:01.694,4
2025-03-27 01:11:16.694,4
2025-03-27 01:11:31.694,4
2025-03-27 01:11:46.694,4
