Timestamp,Median Service Units Used
2025-03-28 17:08:23.030,5
2025-03-28 17:08:38.030,5
2025-03-28 17:08:53.030,5
2025-03-28 17:09:08.030,5
2025-03-28 17:09:23.030,5
2025-03-28 17:09:38.030,5
2025-03-28 17:09:53.030,5
2025-03-28 17:10:08.030,5
2025-03-28 17:10:23.030,5
2025-03-28 17:10:38.030,5
2025-03-28 17:10:53.030,5
2025-03-28 17:11:08.030,5
2025-03-28 17:11:23.030,5
2025-03-28 17:11:38.030,5
2025-03-28 17:11:53.030,5
2025-03-28 17:12:08.030,5
2025-03-28 17:12:23.030,5
2025-03-28 17:12:38.030,5
2025-03-28 17:12:53.030,5
2025-03-28 17:13:08.030,5
2025-03-28 17:13:23.030,5
2025-03-28 17:13:38.030,5
2025-03-28 17:13:53.030,5
2025-03-28 17:14:08.030,5
2025-03-28 17:14:23.030,5
2025-03-28 17:14:38.030,5
2025-03-28 17:14:53.030,5
2025-03-28 17:15:08.030,5
2025-03-28 17:15:23.030,5
2025-03-28 17:15:38.030,5
2025-03-28 17:15:53.030,5
2025-03-28 17:16:08.030,5
2025-03-28 17:16:23.030,5
2025-03-28 17:16:38.030,5
2025-03-28 17:16:53.030,5
2025-03-28 17:17:08.030,5
2025-03-28 17:17:23.030,5
2025-03-28 17:17:38.030,5
2025-03-28 17:17:53.030,5
2025-03-28 17:18:08.030,5
2025-03-28 17:18:23.030,5
2025-03-28 17:18:38.030,5
2025-03-28 17:18:53.030,5
2025-03-28 17:19:08.030,5
2025-03-28 17:19:23.030,5
2025-03-28 17:19:38.030,5
2025-03-28 17:19:53.030,5
2025-03-28 17:20:08.030,5
2025-03-28 17:20:23.030,5
2025-03-28 17:20:38.030,5
2025-03-28 17:20:53.030,5
2025-03-28 17:21:08.030,5
2025-03-28 17:21:23.030,5
2025-03-28 17:21:38.030,5
2025-03-28 17:21:53.030,5
2025-03-28 17:22:08.030,5
2025-03-28 17:22:23.030,5
2025-03-28 17:22:38.030,5
2025-03-28 17:22:53.030,5
2025-03-28 17:23:08.030,5
2025-03-28 17:23:23.030,5
2025-03-28 17:23:38.030,5
2025-03-28 17:23:53.030,5
2025-03-28 17:24:08.030,5
2025-03-28 17:24:23.030,5
2025-03-28 17:24:38.030,5
2025-03-28 17:24:53.030,5
2025-03-28 17:25:08.030,5
2025-03-28 17:25:23.030,5
2025-03-28 17:25:38.030,5
2025-03-28 17:25:53.030,5
2025-03-28 17:26:08.030,5
2025-03-28 17:26:23.030,5
2025-03-28 17:26:38.030,5
2025-03-28 17:26:53.030,5
2025-03-28 17:27:08.030,5
2025-03-28 17:27:23.030,5
2025-03-28 17:27:38.030,5
2025-03-28 17:27:53.030,5
2025-03-28 17:28:08.030,5
2025-03-28 17:28:23.030,5
2025-03-28 17:28:38.030,5
2025-03-28 17:28:53.030,5
2025-03-28 17:29:08.030,5
2025-03-28 17:29:23.030,5
2025-03-28 17:29:38.030,5
2025-03-28 17:29:53.030,5
2025-03-28 17:30:08.030,5
2025-03-28 17:30:23.030,5
2025-03-28 17:30:38.030,5
2025-03-28 17:30:53.030,5
2025-03-28 17:31:08.030,5
2025-03-28 17:31:23.030,5
2025-03-28 17:31:38.030,5
2025-03-28 17:31:53.030,5
2025-03-28 17:32:08.030,5
2025-03-28 17:32:23.030,5
2025-03-28 17:32:38.030,5
2025-03-28 17:32:53.030,5
2025-03-28 17:33:08.030,5
2025-03-28 17:33:23.030,5
2025-03-28 17:33:38.030,5
2025-03-28 17:33:53.030,5
2025-03-28 17:34:08.030,5
2025-03-28 17:34:23.030,5
2025-03-28 17:34:38.030,5
2025-03-28 17:34:53.030,5
2025-03-28 17:35:08.030,5
2025-03-28 17:35:23.030,5
2025-03-28 17:35:38.030,5
2025-03-28 17:35:53.030,5
2025-03-28 17:36:08.030,5
2025-03-28 17:36:23.030,5
2025-03-28 17:36:38.030,5
2025-03-28 17:36:53.030,5
2025-03-28 17:37:08.030,5
2025-03-28 17:37:23.030,5
2025-03-28 17:37:38.030,5
2025-03-28 17:37:53.030,5
2025-03-28 17:38:08.030,5
2025-03-28 17:38:23.030,5
2025-03-28 17:38:38.030,5
2025-03-28 17:38:53.030,5
2025-03-28 17:39:08.030,5
2025-03-28 17:39:23.030,5
2025-03-28 17:39:38.030,5
2025-03-28 17:39:53.030,5
2025-03-28 17:40:08.030,5
2025-03-28 17:40:23.030,5
2025-03-28 17:40:38.030,5
2025-03-28 17:40:53.030,5
2025-03-28 17:41:08.030,5
2025-03-28 17:41:23.030,5
2025-03-28 17:41:38.030,5
2025-03-28 17:41:53.030,5
2025-03-28 17:42:08.030,5
2025-03-28 17:42:23.030,5
2025-03-28 17:42:38.030,5
2025-03-28 17:42:53.030,5
2025-03-28 17:43:08.030,5
2025-03-28 17:43:23.030,5
2025-03-28 17:43:38.030,5
2025-03-28 17:43:53.030,5
2025-03-28 17:44:08.030,5
2025-03-28 17:44:23.030,5
2025-03-28 17:44:38.030,5
2025-03-28 17:44:53.030,5
2025-03-28 17:45:08.030,5
2025-03-28 17:45:23.030,5
2025-03-28 17:45:38.030,5
2025-03-28 17:45:53.030,5
2025-03-28 17:46:08.030,5
2025-03-28 17:46:23.030,5
2025-03-28 17:46:38.030,5
2025-03-28 17:46:53.030,5
2025-03-28 17:47:08.030,5
2025-03-28 17:47:23.030,5
2025-03-28 17:47:38.030,5
2025-03-28 17:47:53.030,5
2025-03-28 17:48:08.030,5
2025-03-28 17:48:23.030,5
2025-03-28 17:48:38.030,5
2025-03-28 17:48:53.030,5
2025-03-28 17:49:08.030,5
2025-03-28 17:49:23.030,5
2025-03-28 17:49:38.030,5
2025-03-28 17:49:53.030,5
2025-03-28 17:50:08.030,5
2025-03-28 17:50:23.030,5
2025-03-28 17:50:38.030,5
2025-03-28 17:50:53.030,5
2025-03-28 17:51:08.030,5
2025-03-28 17:51:23.030,5
2025-03-28 17:51:38.030,5
2025-03-28 17:51:53.030,5
2025-03-28 17:52:08.030,5
2025-03-28 17:52:23.030,5
2025-03-28 17:52:38.030,5
2025-03-28 17:52:53.030,5
2025-03-28 17:53:08.030,5
2025-03-28 17:53:23.030,5
2025-03-28 17:53:38.030,5
2025-03-28 17:53:53.030,5
2025-03-28 17:54:08.030,5
2025-03-28 17:54:23.030,5
2025-03-28 17:54:38.030,5
2025-03-28 17:54:53.030,5
2025-03-28 17:55:08.030,5
2025-03-28 17:55:23.030,5
2025-03-28 17:55:38.030,5
2025-03-28 17:55:53.030,5
2025-03-28 17:56:08.030,5
2025-03-28 17:56:23.030,5
2025-03-28 17:56:38.030,5
2025-03-28 17:56:53.030,5
2025-03-28 17:57:08.030,5
2025-03-28 17:57:23.030,5
2025-03-28 17:57:38.030,5
2025-03-28 17:57:53.030,5
2025-03-28 17:58:08.030,5
2025-03-28 17:58:23.030,5
2025-03-28 17:58:38.030,5
2025-03-28 17:58:53.030,5
2025-03-28 17:59:08.030,5
2025-03-28 17:59:23.030,5
2025-03-28 17:59:38.030,5
2025-03-28 17:59:53.030,5
2025-03-28 18:00:08.030,5
2025-03-28 18:00:23.030,5
2025-03-28 18:00:38.030,5
2025-03-28 18:00:53.030,5
2025-03-28 18:01:08.030,5
2025-03-28 18:01:23.030,5
2025-03-28 18:01:38.030,5
2025-03-28 18:01:53.030,5
2025-03-28 18:02:08.030,5
2025-03-28 18:02:23.030,5
2025-03-28 18:02:38.030,5
2025-03-28 18:02:53.030,5
2025-03-28 18:03:08.030,5
2025-03-28 18:03:23.030,5
2025-03-28 18:03:38.030,5
2025-03-28 18:03:53.030,5
2025-03-28 18:04:08.030,5
2025-03-28 18:04:23.030,5
2025-03-28 18:04:38.030,5
2025-03-28 18:04:53.030,5
2025-03-28 18:05:08.030,5
2025-03-28 18:05:23.030,5
2025-03-28 18:05:38.030,5
2025-03-28 18:05:53.030,5
2025-03-28 18:06:08.030,5
2025-03-28 18:06:23.030,5
2025-03-28 18:06:38.030,5
2025-03-28 18:06:53.030,5
2025-03-28 18:07:08.030,5
2025-03-28 18:07:23.030,5
2025-03-28 18:07:38.030,5
2025-03-28 18:07:53.030,5
2025-03-28 18:08:08.030,5
2025-03-28 18:08:23.030,5
2025-03-28 18:08:38.030,5
2025-03-28 18:08:53.030,5
2025-03-28 18:09:08.030,5
2025-03-28 18:09:23.030,5
2025-03-28 18:09:38.030,5
2025-03-28 18:09:53.030,5
2025-03-28 18:10:08.030,5
2025-03-28 18:10:23.030,5
2025-03-28 18:10:38.030,5
2025-03-28 18:10:53.030,5
2025-03-28 18:11:08.030,5
2025-03-28 18:11:23.030,5
2025-03-28 18:11:38.030,5
2025-03-28 18:11:53.030,5
2025-03-28 18:12:08.030,5
2025-03-28 18:12:23.030,5
2025-03-28 18:12:38.030,5
2025-03-28 18:12:53.030,5
2025-03-28 18:13:08.030,5
2025-03-28 18:13:23.030,5
2025-03-28 18:13:38.030,5
2025-03-28 18:13:53.030,5
2025-03-28 18:14:08.030,5
2025-03-28 18:14:23.030,5
2025-03-28 18:14:38.030,5
2025-03-28 18:14:53.030,5
2025-03-28 18:15:08.030,5
2025-03-28 18:15:23.030,5
2025-03-28 18:15:38.030,5
2025-03-28 18:15:53.030,5
2025-03-28 18:16:08.030,5
2025-03-28 18:16:23.030,5
2025-03-28 18:16:38.030,5
2025-03-28 18:16:53.030,5
2025-03-28 18:17:08.030,5
2025-03-28 18:17:23.030,5
2025-03-28 18:17:38.030,5
2025-03-28 18:17:53.030,5
2025-03-28 18:18:08.030,5
2025-03-28 18:18:23.030,5
2025-03-28 18:18:38.030,5
2025-03-28 18:18:53.030,5
2025-03-28 18:19:08.030,5
2025-03-28 18:19:23.030,5
2025-03-28 18:19:38.030,5
2025-03-28 18:19:53.030,5
2025-03-28 18:20:08.030,5
2025-03-28 18:20:23.030,5
2025-03-28 18:20:38.030,5
2025-03-28 18:20:53.030,5
2025-03-28 18:21:08.030,5
2025-03-28 18:21:23.030,5
2025-03-28 18:21:38.030,5
2025-03-28 18:21:53.030,5
2025-03-28 18:22:08.030,5
2025-03-28 18:22:23.030,4
2025-03-28 18:22:38.030,5
2025-03-28 18:22:53.030,5
2025-03-28 18:23:08.030,5
2025-03-28 18:23:23.030,4
2025-03-28 18:23:38.030,5
2025-03-28 18:23:53.030,5
2025-03-28 18:24:08.030,5
2025-03-28 18:24:23.030,4
2025-03-28 18:24:38.030,5
2025-03-28 18:24:53.030,5
2025-03-28 18:25:08.030,5
2025-03-28 18:25:23.030,4
2025-03-28 18:25:38.030,5
2025-03-28 18:25:53.030,5
2025-03-28 18:26:08.030,5
2025-03-28 18:26:23.030,4
2025-03-28 18:26:38.030,5
2025-03-28 18:26:53.030,5
2025-03-28 18:27:08.030,5
2025-03-28 18:27:23.030,4
