Timestamp,Service Units Used
2025-03-28 01:21:12.535,2
2025-03-28 01:21:27.535,2
2025-03-28 01:21:42.535,2
2025-03-28 01:21:57.535,2
2025-03-28 01:22:12.535,2
2025-03-28 01:22:27.535,2
2025-03-28 01:22:42.535,2
2025-03-28 01:22:57.535,2
2025-03-28 01:23:12.535,2
2025-03-28 01:23:27.535,2
2025-03-28 01:23:42.535,2
2025-03-28 01:23:57.535,2
2025-03-28 01:24:12.535,2
2025-03-28 01:24:27.535,2
2025-03-28 01:24:42.535,3
2025-03-28 01:24:57.535,3
2025-03-28 01:25:12.535,3
2025-03-28 01:25:27.535,3
2025-03-28 01:25:42.535,3
2025-03-28 01:25:57.535,3
2025-03-28 01:26:12.535,3
2025-03-28 01:26:27.535,3
2025-03-28 01:26:42.535,3
2025-03-28 01:26:57.535,3
2025-03-28 01:27:12.535,4
2025-03-28 01:27:27.535,4
2025-03-28 01:27:42.535,4
2025-03-28 01:27:57.535,4
2025-03-28 01:28:12.535,4
2025-03-28 01:28:27.535,4
2025-03-28 01:28:42.535,4
2025-03-28 01:28:57.535,4
2025-03-28 01:29:12.535,4
2025-03-28 01:29:27.535,3
2025-03-28 01:29:42.535,3
2025-03-28 01:29:57.535,3
2025-03-28 01:30:12.535,3
2025-03-28 01:30:27.535,3
2025-03-28 01:30:42.535,3
2025-03-28 01:30:57.535,3
2025-03-28 01:31:12.535,2
2025-03-28 01:31:27.535,2
2025-03-28 01:31:42.535,2
2025-03-28 01:31:57.535,2
2025-03-28 01:32:12.535,2
2025-03-28 01:32:27.535,2
2025-03-28 01:32:42.535,2
2025-03-28 01:32:57.535,2
2025-03-28 01:33:12.535,2
2025-03-28 01:33:27.535,2
2025-03-28 01:33:42.535,2
2025-03-28 01:33:57.535,2
2025-03-28 01:34:12.535,2
2025-03-28 01:34:27.535,3
2025-03-28 01:34:42.535,3
2025-03-28 01:34:57.535,3
2025-03-28 01:35:12.535,3
2025-03-28 01:35:27.535,3
2025-03-28 01:35:42.535,3
2025-03-28 01:35:57.535,3
