Timestamp,Median Service Units Used
2025-03-27 07:21:28.652,6
2025-03-27 07:21:43.652,6
2025-03-27 07:21:58.652,6
2025-03-27 07:22:13.652,6
2025-03-27 07:22:28.652,6
2025-03-27 07:22:43.652,6
2025-03-27 07:22:58.652,6
2025-03-27 07:23:13.652,6
2025-03-27 07:23:28.652,6
2025-03-27 07:23:43.652,6
2025-03-27 07:23:58.652,6
2025-03-27 07:24:13.652,6
2025-03-27 07:24:28.652,6
2025-03-27 07:24:43.652,6
2025-03-27 07:24:58.652,6
2025-03-27 07:25:13.652,6
2025-03-27 07:25:28.652,6
2025-03-27 07:25:43.652,6
2025-03-27 07:25:58.652,6
2025-03-27 07:26:13.652,6
2025-03-27 07:26:28.652,6
2025-03-27 07:26:43.652,6
2025-03-27 07:26:58.652,6
2025-03-27 07:27:13.652,6
2025-03-27 07:27:28.652,6
2025-03-27 07:27:43.652,6
2025-03-27 07:27:58.652,6
2025-03-27 07:28:13.652,6
2025-03-27 07:28:28.652,5
2025-03-27 07:28:43.652,5
2025-03-27 07:28:58.652,5
2025-03-27 07:29:13.652,5
2025-03-27 07:29:28.652,5
2025-03-27 07:29:43.652,5
2025-03-27 07:29:58.652,5
2025-03-27 07:30:13.652,5
2025-03-27 07:30:28.652,5
2025-03-27 07:30:43.652,5
2025-03-27 07:30:58.652,5
2025-03-27 07:31:13.652,5
2025-03-27 07:31:28.652,5
2025-03-27 07:31:43.652,5
2025-03-27 07:31:58.652,5
2025-03-27 07:32:13.652,5
2025-03-27 07:32:28.652,5
2025-03-27 07:32:43.652,5
2025-03-27 07:32:58.652,5
2025-03-27 07:33:13.652,5
2025-03-27 07:33:28.652,5
2025-03-27 07:33:43.652,5
2025-03-27 07:33:58.652,5
2025-03-27 07:34:13.652,5
2025-03-27 07:34:28.652,5
2025-03-27 07:34:43.652,5
2025-03-27 07:34:58.652,5
2025-03-27 07:35:13.652,5
2025-03-27 07:35:28.652,5
2025-03-27 07:35:43.652,5
2025-03-27 07:35:58.652,5
2025-03-27 07:36:13.652,5
2025-03-27 07:36:28.652,5
2025-03-27 07:36:43.652,5
2025-03-27 07:36:58.652,5
2025-03-27 07:37:13.652,5
2025-03-27 07:37:28.652,5
2025-03-27 07:37:43.652,5
2025-03-27 07:37:58.652,5
2025-03-27 07:38:13.652,5
