Timestamp,Median Service Units Used
2025-03-25 03:08:58.266,5
2025-03-25 03:09:13.266,5
2025-03-25 03:09:28.266,5
2025-03-25 03:09:43.266,5
2025-03-25 03:09:58.266,5
2025-03-25 03:10:13.266,4
2025-03-25 03:10:28.266,4
2025-03-25 03:10:43.266,4
2025-03-25 03:10:58.266,4
2025-03-25 03:11:13.266,4
2025-03-25 03:11:28.266,4
2025-03-25 03:11:43.266,4
2025-03-25 03:11:58.266,4
2025-03-25 03:12:13.266,4
2025-03-25 03:12:28.266,4
2025-03-25 03:12:43.266,4
2025-03-25 03:12:58.266,4
2025-03-25 03:13:13.266,4
2025-03-25 03:13:28.266,5
2025-03-25 03:13:43.266,5
2025-03-25 03:13:58.266,5
2025-03-25 03:14:13.266,5
2025-03-25 03:14:28.266,5
2025-03-25 03:14:43.266,5
2025-03-25 03:14:58.266,5
2025-03-25 03:15:13.266,4
2025-03-25 03:15:28.266,4
2025-03-25 03:15:43.266,4
2025-03-25 03:15:58.266,4
2025-03-25 03:16:13.266,5
2025-03-25 03:16:28.266,4
2025-03-25 03:16:43.266,5
2025-03-25 03:16:58.266,5
2025-03-25 03:17:13.266,4
2025-03-25 03:17:28.266,4
2025-03-25 03:17:43.266,5
2025-03-25 03:17:58.266,4
2025-03-25 03:18:13.266,4
2025-03-25 03:18:28.266,5
2025-03-25 03:18:43.266,5
2025-03-25 03:18:58.266,5
2025-03-25 03:19:13.266,5
2025-03-25 03:19:28.266,5
2025-03-25 03:19:43.266,5
2025-03-25 03:19:58.266,5
2025-03-25 03:20:13.266,4
2025-03-25 03:20:28.266,4
2025-03-25 03:20:43.266,4
2025-03-25 03:20:58.266,4
2025-03-25 03:21:13.266,5
2025-03-25 03:21:28.266,4
2025-03-25 03:21:43.266,5
2025-03-25 03:21:58.266,5
2025-03-25 03:22:13.266,4
2025-03-25 03:22:28.266,4
2025-03-25 03:22:43.266,4
2025-03-25 03:22:58.266,4
2025-03-25 03:23:13.266,4
2025-03-25 03:23:28.266,5
2025-03-25 03:23:43.266,5
2025-03-25 03:23:58.266,5
2025-03-25 03:24:13.266,5
2025-03-25 03:24:28.266,5
2025-03-25 03:24:43.266,5
2025-03-25 03:24:58.266,5
2025-03-25 03:25:13.266,4
2025-03-25 03:25:28.266,4
2025-03-25 03:25:43.266,4
2025-03-25 03:25:58.266,5
2025-03-25 03:26:13.266,5
2025-03-25 03:26:28.266,4
2025-03-25 03:26:43.266,5
2025-03-25 03:26:58.266,5
2025-03-25 03:27:13.266,5
2025-03-25 03:27:28.266,4
2025-03-25 03:27:43.266,5
2025-03-25 03:27:58.266,4
2025-03-25 03:28:13.266,4
2025-03-25 03:28:28.266,5
2025-03-25 03:28:43.266,5
2025-03-25 03:28:58.266,5
2025-03-25 03:29:13.266,5
2025-03-25 03:29:28.266,5
2025-03-25 03:29:43.266,4
2025-03-25 03:29:58.266,5
2025-03-25 03:30:13.266,4
2025-03-25 03:30:28.266,4
2025-03-25 03:30:43.266,4
2025-03-25 03:30:58.266,4
2025-03-25 03:31:13.266,5
2025-03-25 03:31:28.266,4
2025-03-25 03:31:43.266,5
2025-03-25 03:31:58.266,5
2025-03-25 03:32:13.266,5
2025-03-25 03:32:28.266,4
2025-03-25 03:32:43.266,4
2025-03-25 03:32:58.266,4
2025-03-25 03:33:13.266,4
2025-03-25 03:33:28.266,4
2025-03-25 03:33:43.266,5
2025-03-25 03:33:58.266,5
2025-03-25 03:34:13.266,5
2025-03-25 03:34:28.266,5
2025-03-25 03:34:43.266,5
2025-03-25 03:34:58.266,5
2025-03-25 03:35:13.266,4
2025-03-25 03:35:28.266,4
2025-03-25 03:35:43.266,4
2025-03-25 03:35:58.266,5
2025-03-25 03:36:13.266,5
2025-03-25 03:36:28.266,5
2025-03-25 03:36:43.266,5
2025-03-25 03:36:58.266,5
2025-03-25 03:37:13.266,5
2025-03-25 03:37:28.266,4
2025-03-25 03:37:43.266,5
2025-03-25 03:37:58.266,4
2025-03-25 03:38:13.266,4
2025-03-25 03:38:28.266,5
2025-03-25 03:38:43.266,5
2025-03-25 03:38:58.266,5
2025-03-25 03:39:13.266,5
2025-03-25 03:39:28.266,5
2025-03-25 03:39:43.266,5
2025-03-25 03:39:58.266,5
2025-03-25 03:40:13.266,4
2025-03-25 03:40:28.266,4
2025-03-25 03:40:43.266,4
2025-03-25 03:40:58.266,5
2025-03-25 03:41:13.266,5
2025-03-25 03:41:28.266,5
2025-03-25 03:41:43.266,5
2025-03-25 03:41:58.266,5
2025-03-25 03:42:13.266,5
2025-03-25 03:42:28.266,4
2025-03-25 03:42:43.266,5
2025-03-25 03:42:58.266,4
2025-03-25 03:43:13.266,4
2025-03-25 03:43:28.266,5
2025-03-25 03:43:43.266,5
2025-03-25 03:43:58.266,5
2025-03-25 03:44:13.266,5
2025-03-25 03:44:28.266,5
2025-03-25 03:44:43.266,5
2025-03-25 03:44:58.266,5
2025-03-25 03:45:13.266,4
2025-03-25 03:45:28.266,4
2025-03-25 03:45:43.266,4
2025-03-25 03:45:58.266,5
2025-03-25 03:46:13.266,5
2025-03-25 03:46:28.266,5
2025-03-25 03:46:43.266,5
2025-03-25 03:46:58.266,5
2025-03-25 03:47:13.266,5
2025-03-25 03:47:28.266,4
2025-03-25 03:47:43.266,4
2025-03-25 03:47:58.266,4
2025-03-25 03:48:13.266,4
2025-03-25 03:48:28.266,4
2025-03-25 03:48:43.266,5
2025-03-25 03:48:58.266,5
2025-03-25 03:49:13.266,4
2025-03-25 03:49:28.266,5
2025-03-25 03:49:43.266,5
2025-03-25 03:49:58.266,4
2025-03-25 03:50:13.266,4
2025-03-25 03:50:28.266,4
2025-03-25 03:50:43.266,4
2025-03-25 03:50:58.266,4
2025-03-25 03:51:13.266,4
2025-03-25 03:51:28.266,5
2025-03-25 03:51:43.266,5
2025-03-25 03:51:58.266,5
2025-03-25 03:52:13.266,4
2025-03-25 03:52:28.266,4
2025-03-25 03:52:43.266,4
2025-03-25 03:52:58.266,4
2025-03-25 03:53:13.266,4
2025-03-25 03:53:28.266,4
2025-03-25 03:53:43.266,5
2025-03-25 03:53:58.266,5
2025-03-25 03:54:13.266,5
2025-03-25 03:54:28.266,5
2025-03-25 03:54:43.266,5
2025-03-25 03:54:58.266,5
2025-03-25 03:55:13.266,5
2025-03-25 03:55:28.266,4
2025-03-25 03:55:43.266,5
2025-03-25 03:55:58.266,5
2025-03-25 03:56:13.266,4
2025-03-25 03:56:28.266,5
2025-03-25 03:56:43.266,5
2025-03-25 03:56:58.266,5
2025-03-25 03:57:13.266,5
2025-03-25 03:57:28.266,5
2025-03-25 03:57:43.266,5
2025-03-25 03:57:58.266,4
2025-03-25 03:58:13.266,4
2025-03-25 03:58:28.266,5
2025-03-25 03:58:43.266,5
2025-03-25 03:58:58.266,5
2025-03-25 03:59:13.266,5
2025-03-25 03:59:28.266,5
2025-03-25 03:59:43.266,5
2025-03-25 03:59:58.266,5
2025-03-25 04:00:13.266,5
2025-03-25 04:00:28.266,4
2025-03-25 04:00:43.266,5
2025-03-25 04:00:58.266,5
2025-03-25 04:01:13.266,4
2025-03-25 04:01:28.266,5
2025-03-25 04:01:43.266,5
2025-03-25 04:01:58.266,5
2025-03-25 04:02:13.266,5
2025-03-25 04:02:28.266,5
2025-03-25 04:02:43.266,5
2025-03-25 04:02:58.266,4
2025-03-25 04:03:13.266,4
2025-03-25 04:03:28.266,5
2025-03-25 04:03:43.266,5
2025-03-25 04:03:58.266,5
2025-03-25 04:04:13.266,5
2025-03-25 04:04:28.266,5
2025-03-25 04:04:43.266,5
2025-03-25 04:04:58.266,5
2025-03-25 04:05:13.266,5
2025-03-25 04:05:28.266,4
2025-03-25 04:05:43.266,5
2025-03-25 04:05:58.266,5
2025-03-25 04:06:13.266,4
2025-03-25 04:06:28.266,5
2025-03-25 04:06:43.266,5
2025-03-25 04:06:58.266,5
2025-03-25 04:07:13.266,5
2025-03-25 04:07:28.266,5
2025-03-25 04:07:43.266,5
2025-03-25 04:07:58.266,4
2025-03-25 04:08:13.266,4
2025-03-25 04:08:28.266,5
2025-03-25 04:08:43.266,5
2025-03-25 04:08:58.266,5
2025-03-25 04:09:13.266,5
2025-03-25 04:09:28.266,5
2025-03-25 04:09:43.266,5
2025-03-25 04:09:58.266,5
2025-03-25 04:10:13.266,5
2025-03-25 04:10:28.266,4
2025-03-25 04:10:43.266,5
2025-03-25 04:10:58.266,4
2025-03-25 04:11:13.266,4
2025-03-25 04:11:28.266,4
2025-03-25 04:11:43.266,5
2025-03-25 04:11:58.266,5
2025-03-25 04:12:13.266,4
2025-03-25 04:12:28.266,4
2025-03-25 04:12:43.266,4
2025-03-25 04:12:58.266,4
2025-03-25 04:13:13.266,4
2025-03-25 04:13:28.266,4
2025-03-25 04:13:43.266,5
2025-03-25 04:13:58.266,5
2025-03-25 04:14:13.266,4
2025-03-25 04:14:28.266,5
2025-03-25 04:14:43.266,4
2025-03-25 04:14:58.266,4
2025-03-25 04:15:13.266,5
2025-03-25 04:15:28.266,4
2025-03-25 04:15:43.266,5
2025-03-25 04:15:58.266,4
2025-03-25 04:16:13.266,4
2025-03-25 04:16:28.266,4
2025-03-25 04:16:43.266,5
2025-03-25 04:16:58.266,5
2025-03-25 04:17:13.266,5
2025-03-25 04:17:28.266,5
2025-03-25 04:17:43.266,4
2025-03-25 04:17:58.266,4
2025-03-25 04:18:13.266,4
2025-03-25 04:18:28.266,5
2025-03-25 04:18:43.266,5
2025-03-25 04:18:58.266,5
2025-03-25 04:19:13.266,5
2025-03-25 04:19:28.266,5
2025-03-25 04:19:43.266,5
2025-03-25 04:19:58.266,5
2025-03-25 04:20:13.266,5
2025-03-25 04:20:28.266,4
2025-03-25 04:20:43.266,5
2025-03-25 04:20:58.266,5
2025-03-25 04:21:13.266,4
2025-03-25 04:21:28.266,5
2025-03-25 04:21:43.266,5
2025-03-25 04:21:58.266,5
2025-03-25 04:22:13.266,5
2025-03-25 04:22:28.266,5
2025-03-25 04:22:43.266,4
2025-03-25 04:22:58.266,4
2025-03-25 04:23:13.266,4
2025-03-25 04:23:28.266,5
2025-03-25 04:23:43.266,5
2025-03-25 04:23:58.266,5
2025-03-25 04:24:13.266,4
2025-03-25 04:24:28.266,5
2025-03-25 04:24:43.266,4
2025-03-25 04:24:58.266,4
2025-03-25 04:25:13.266,5
2025-03-25 04:25:28.266,4
2025-03-25 04:25:43.266,4
2025-03-25 04:25:58.266,4
2025-03-25 04:26:13.266,4
2025-03-25 04:26:43.266,5
2025-03-25 04:26:58.266,5
2025-03-25 04:27:13.266,5
2025-03-25 04:27:28.266,5
2025-03-25 04:27:43.266,4
2025-03-25 04:27:58.266,4
2025-03-25 04:28:13.266,4
2025-03-25 04:28:28.266,5
2025-03-25 04:28:43.266,5
2025-03-25 04:28:58.266,5
2025-03-25 04:29:13.266,4
2025-03-25 04:29:28.266,5
2025-03-25 04:29:43.266,4
