Timestamp,Service Units Used
2025-01-15 08:38:11.583,2
2025-01-15 08:38:26.583,2
2025-01-15 08:38:41.583,2
2025-01-15 08:38:56.583,3
2025-01-15 08:39:11.583,4
2025-01-15 08:39:26.583,5
2025-01-15 08:39:41.583,3
2025-01-15 08:39:56.583,4
2025-01-15 08:40:11.583,5
2025-01-15 08:40:26.583,5
2025-01-15 08:40:41.583,5
2025-01-15 08:40:56.583,6
2025-01-15 08:41:11.583,6
2025-01-15 08:41:26.583,7
2025-01-15 08:41:41.583,6
2025-01-15 08:41:56.583,5
2025-01-15 08:42:11.583,5
2025-01-15 08:42:26.583,5
2025-01-15 08:42:41.583,6
2025-01-15 08:42:56.583,5
2025-01-15 08:43:11.583,4
2025-01-15 08:43:26.583,4
2025-01-15 08:43:41.583,4
2025-01-15 08:43:56.583,4
2025-01-15 08:44:11.583,4
2025-01-15 08:44:26.583,4
2025-01-15 08:44:41.583,5
2025-01-15 08:44:56.583,6
2025-01-15 08:45:11.583,7
2025-01-15 08:45:26.583,6
2025-01-15 08:45:41.583,7
2025-01-15 08:45:56.583,7
2025-01-15 08:46:11.583,7
2025-01-15 08:46:26.583,6
2025-01-15 08:46:41.583,4
2025-01-15 08:46:56.583,3
2025-01-15 08:47:11.583,3
2025-01-15 08:47:26.583,4
2025-01-15 08:47:41.583,4
2025-01-15 08:47:56.583,5
2025-01-15 08:48:11.583,5
2025-01-15 08:48:26.583,5
2025-01-15 08:48:41.583,5
2025-01-15 08:48:56.583,5
2025-01-15 08:49:11.583,5
2025-01-15 08:49:26.583,6
2025-01-15 08:49:41.583,7
2025-01-15 08:49:56.583,7
2025-01-15 08:50:11.583,6
2025-01-15 08:50:26.583,6
2025-01-15 08:50:41.583,5
2025-01-15 08:50:56.583,5
2025-01-15 08:51:11.583,5
2025-01-15 08:51:26.583,6
2025-01-15 08:51:41.583,7
2025-01-15 08:51:56.583,7
2025-01-15 08:52:11.583,6
2025-01-15 08:52:26.583,5
2025-01-15 08:52:41.583,3
2025-01-15 08:52:56.583,4
