Timestamp,Median Service Units Used
2025-01-17 03:05:40.024,6
2025-01-17 03:05:55.024,6
2025-01-17 03:06:10.024,6
2025-01-17 03:06:25.024,6
2025-01-17 03:06:40.024,6
2025-01-17 03:06:55.024,6
2025-01-17 03:07:10.024,6
2025-01-17 03:07:25.024,6
2025-01-17 03:07:40.024,6
2025-01-17 03:07:55.024,6
2025-01-17 03:08:10.024,6
2025-01-17 03:08:25.024,6
2025-01-17 03:08:40.024,6
2025-01-17 03:08:55.024,6
2025-01-17 03:09:10.024,6
2025-01-17 03:09:25.024,6
2025-01-17 03:09:40.024,6
2025-01-17 03:09:55.024,6
2025-01-17 03:10:10.024,6
2025-01-17 03:10:25.024,6
2025-01-17 03:10:40.024,6
2025-01-17 03:10:55.024,6
2025-01-17 03:11:10.024,6
2025-01-17 03:11:25.024,6
2025-01-17 03:11:40.024,6
2025-01-17 03:11:55.024,6
2025-01-17 03:12:10.024,6
2025-01-17 03:12:25.024,6
2025-01-17 03:12:40.024,6
2025-01-17 03:12:55.024,6
2025-01-17 03:13:10.024,6
2025-01-17 03:13:25.024,6
2025-01-17 03:13:40.024,6
2025-01-17 03:13:55.024,6
2025-01-17 03:14:10.024,6
2025-01-17 03:14:25.024,6
2025-01-17 03:14:40.024,6
2025-01-17 03:14:55.024,6
2025-01-17 03:15:10.024,6
2025-01-17 03:15:25.024,6
2025-01-17 03:15:40.024,6
2025-01-17 03:15:55.024,6
2025-01-17 03:16:10.024,6
2025-01-17 03:16:25.024,6
2025-01-17 03:16:40.024,6
2025-01-17 03:16:55.024,6
2025-01-17 03:17:10.024,6
2025-01-17 03:17:25.024,6
2025-01-17 03:17:40.024,6
2025-01-17 03:17:55.024,6
2025-01-17 03:18:10.024,6
2025-01-17 03:18:25.024,6
2025-01-17 03:18:40.024,6
2025-01-17 03:18:55.024,6
2025-01-17 03:19:10.024,6
2025-01-17 03:19:25.024,6
2025-01-17 03:19:40.024,6
2025-01-17 03:19:55.024,6
2025-01-17 03:20:10.024,6
2025-01-17 03:20:25.024,6
2025-01-17 03:20:40.024,6
2025-01-17 03:20:55.024,6
2025-01-17 03:21:10.024,6
2025-01-17 03:21:25.024,6
2025-01-17 03:21:40.024,6
2025-01-17 03:21:55.024,6
2025-01-17 03:22:10.024,6
2025-01-17 03:22:25.024,6
2025-01-17 03:22:40.024,6
2025-01-17 03:22:55.024,6
2025-01-17 03:23:10.024,6
2025-01-17 03:23:25.024,6
2025-01-17 03:23:40.024,6
2025-01-17 03:23:55.024,6
2025-01-17 03:24:10.024,6
2025-01-17 03:24:25.024,6
2025-01-17 03:24:40.024,6
2025-01-17 03:24:55.024,6
2025-01-17 03:25:10.024,6
2025-01-17 03:25:25.024,6
2025-01-17 03:25:40.024,6
2025-01-17 03:25:55.024,6
2025-01-17 03:26:10.024,6
2025-01-17 03:26:25.024,6
2025-01-17 03:26:40.024,6
2025-01-17 03:26:55.024,6
2025-01-17 03:27:10.024,6
2025-01-17 03:27:25.024,6
2025-01-17 03:27:40.024,6
2025-01-17 03:27:55.024,6
2025-01-17 03:28:10.024,6
2025-01-17 03:28:25.024,6
2025-01-17 03:28:40.024,6
2025-01-17 03:28:55.024,6
2025-01-17 03:29:10.024,6
2025-01-17 03:29:40.024,6
2025-01-17 03:29:55.024,6
2025-01-17 03:30:10.024,6
2025-01-17 03:30:25.024,6
2025-01-17 03:30:40.024,6
2025-01-17 03:30:55.024,6
2025-01-17 03:31:10.024,6
2025-01-17 03:31:25.024,6
2025-01-17 03:31:40.024,6
2025-01-17 03:31:55.024,6
2025-01-17 03:32:10.024,6
2025-01-17 03:32:25.024,6
2025-01-17 03:32:40.024,6
2025-01-17 03:32:55.024,6
2025-01-17 03:33:10.024,6
2025-01-17 03:33:25.024,6
2025-01-17 03:33:40.024,6
2025-01-17 03:33:55.024,6
2025-01-17 03:34:10.024,6
2025-01-17 03:34:25.024,6
2025-01-17 03:34:40.024,6
2025-01-17 03:34:55.024,6
2025-01-17 03:35:10.024,6
2025-01-17 03:35:25.024,6
2025-01-17 03:35:40.024,6
2025-01-17 03:35:55.024,6
2025-01-17 03:36:10.024,6
2025-01-17 03:36:25.024,6
2025-01-17 03:36:40.024,6
2025-01-17 03:36:55.024,6
2025-01-17 03:37:10.024,6
2025-01-17 03:37:25.024,6
2025-01-17 03:37:40.024,6
2025-01-17 03:37:55.024,6
2025-01-17 03:38:10.024,6
2025-01-17 03:38:25.024,5
2025-01-17 03:38:40.024,6
2025-01-17 03:38:55.024,6
2025-01-17 03:39:10.024,6
2025-01-17 03:39:25.024,5
2025-01-17 03:39:40.024,6
2025-01-17 03:39:55.024,6
2025-01-17 03:40:10.024,6
2025-01-17 03:40:25.024,5
2025-01-17 03:40:40.024,6
2025-01-17 03:40:55.024,6
