Timestamp,Service Units Used
2025-01-17 20:35:19.432,4
2025-01-17 20:35:34.432,4
2025-01-17 20:35:49.432,4
2025-01-17 20:36:04.432,4
2025-01-17 20:36:19.432,4
2025-01-17 20:36:34.432,4
2025-01-17 20:36:49.432,4
2025-01-17 20:37:04.432,4
2025-01-17 20:37:19.432,4
2025-01-17 20:37:34.432,4
2025-01-17 20:37:49.432,4
2025-01-17 20:38:04.432,4
2025-01-17 20:38:19.432,4
2025-01-17 20:38:34.432,4
2025-01-17 20:38:49.432,4
2025-01-17 20:39:04.432,4
2025-01-17 20:39:19.432,4
2025-01-17 20:39:34.432,4
2025-01-17 20:39:49.432,4
2025-01-17 20:40:04.432,4
2025-01-17 20:40:19.432,4
2025-01-17 20:40:34.432,4
2025-01-17 20:40:49.432,4
2025-01-17 20:41:04.432,4
2025-01-17 20:41:19.432,4
2025-01-17 20:41:34.432,4
2025-01-17 20:41:49.432,4
2025-01-17 20:42:04.432,4
2025-01-17 20:42:19.432,4
2025-01-17 20:42:34.432,4
2025-01-17 20:42:49.432,4
2025-01-17 20:43:04.432,4
2025-01-17 20:43:19.432,4
2025-01-17 20:43:34.432,4
2025-01-17 20:43:49.432,4
2025-01-17 20:44:04.432,4
2025-01-17 20:44:19.432,4
2025-01-17 20:44:34.432,4
2025-01-17 20:44:49.432,4
2025-01-17 20:45:04.432,4
2025-01-17 20:45:19.432,4
2025-01-17 20:45:34.432,4
2025-01-17 20:45:49.432,4
2025-01-17 20:46:04.432,4
2025-01-17 20:46:19.432,4
2025-01-17 20:46:34.432,4
2025-01-17 20:46:49.432,4
2025-01-17 20:47:04.432,4
2025-01-17 20:47:19.432,4
2025-01-17 20:47:34.432,4
2025-01-17 20:47:49.432,4
2025-01-17 20:48:04.432,4
2025-01-17 20:48:19.432,3
2025-01-17 20:48:34.432,3
2025-01-17 20:48:49.432,4
2025-01-17 20:49:04.432,4
2025-01-17 20:49:19.432,4
2025-01-17 20:49:34.432,4
2025-01-17 20:49:49.432,4
2025-01-17 20:50:04.432,3
2025-01-17 20:50:19.432,3
2025-01-17 20:50:34.432,4
2025-01-17 20:50:49.432,4
2025-01-17 20:51:04.432,4
2025-01-17 20:51:19.432,4
2025-01-17 20:51:34.432,3
2025-01-17 20:51:49.432,3
2025-01-17 20:52:04.432,3
2025-01-17 20:52:19.432,3
2025-01-17 20:52:34.432,3
2025-01-17 20:52:49.432,3
2025-01-17 20:53:04.432,3
2025-01-17 20:53:19.432,3
2025-01-17 20:53:34.432,3
2025-01-17 20:53:49.432,3
2025-01-17 20:54:04.432,3
2025-01-17 20:54:19.432,3
2025-01-17 20:54:34.432,3
2025-01-17 20:54:49.432,3
2025-01-17 20:55:04.432,4
2025-01-17 20:55:19.432,4
2025-01-17 20:55:34.432,4
2025-01-17 20:55:49.432,4
2025-01-17 20:56:04.432,4
2025-01-17 20:56:19.432,4
2025-01-17 20:56:34.432,4
2025-01-17 20:56:49.432,4
2025-01-17 20:57:04.432,4
2025-01-17 20:57:19.432,4
2025-01-17 20:57:34.432,4
2025-01-17 20:57:49.432,4
2025-01-17 20:58:04.432,4
2025-01-17 20:58:19.432,4
2025-01-17 20:58:34.432,4
2025-01-17 20:58:49.432,4
2025-01-17 20:59:04.432,4
2025-01-17 20:59:19.432,4
2025-01-17 20:59:34.432,4
2025-01-17 20:59:49.432,4
2025-01-17 21:00:04.432,4
2025-01-17 21:00:19.432,4
2025-01-17 21:00:34.432,4
2025-01-17 21:00:49.432,4
2025-01-17 21:01:04.432,4
2025-01-17 21:01:19.432,4
2025-01-17 21:01:34.432,4
2025-01-17 21:01:49.432,4
2025-01-17 21:02:04.432,4
2025-01-17 21:02:19.432,5
2025-01-17 21:02:34.432,5
2025-01-17 21:02:49.432,5
2025-01-17 21:03:04.432,5
2025-01-17 21:03:19.432,5
2025-01-17 21:03:34.432,5
2025-01-17 21:03:49.432,5
2025-01-17 21:04:04.432,5
2025-01-17 21:04:19.432,5
2025-01-17 21:04:34.432,5
2025-01-17 21:04:49.432,5
2025-01-17 21:05:04.432,5
2025-01-17 21:05:19.432,5
2025-01-17 21:05:34.432,5
2025-01-17 21:05:49.432,5
2025-01-17 21:06:04.432,5
2025-01-17 21:06:19.432,5
2025-01-17 21:06:34.432,5
2025-01-17 21:06:49.432,5
2025-01-17 21:07:04.432,5
2025-01-17 21:07:19.432,5
2025-01-17 21:07:34.432,5
2025-01-17 21:07:49.432,5
2025-01-17 21:08:04.432,5
2025-01-17 21:08:19.432,5
2025-01-17 21:08:34.432,5
2025-01-17 21:08:49.432,5
2025-01-17 21:09:04.432,5
2025-01-17 21:09:19.432,5
2025-01-17 21:09:34.432,5
2025-01-17 21:09:49.432,5
2025-01-17 21:10:04.432,5
2025-01-17 21:10:19.432,5
2025-01-17 21:10:34.432,5
2025-01-17 21:10:49.432,5
2025-01-17 21:11:04.432,5
2025-01-17 21:11:19.432,5
2025-01-17 21:11:34.432,5
2025-01-17 21:11:49.432,5
2025-01-17 21:12:04.432,5
2025-01-17 21:12:19.432,5
2025-01-17 21:12:34.432,5
2025-01-17 21:12:49.432,5
2025-01-17 21:13:04.432,5
2025-01-17 21:13:19.432,4
2025-01-17 21:13:34.432,4
2025-01-17 21:13:49.432,4
2025-01-17 21:14:04.432,4
2025-01-17 21:14:19.432,4
2025-01-17 21:14:34.432,5
2025-01-17 21:14:49.432,5
2025-01-17 21:15:04.432,5
2025-01-17 21:15:19.432,5
2025-01-17 21:15:34.432,4
2025-01-17 21:15:49.432,4
2025-01-17 21:16:04.432,4
2025-01-17 21:16:19.432,4
2025-01-17 21:16:34.432,4
2025-01-17 21:16:49.432,4
2025-01-17 21:17:04.432,4
2025-01-17 21:17:19.432,4
2025-01-17 21:17:34.432,4
